Campaign ID,Campaign Name,Campaign Code,Code Used,Code Quota,Campaign Start Date,Campaign End Date,Promo Duration
898,CEBAN,CEBANUNIPINTAHUNBARU,695,750,"December 25, 2023, 00:00","January 10, 2024, 23:59",16 days
92,SUKA MNC,SUKAMUDIK,1,500,"May 24, 2016, 00:00","June 30, 2016, 23:59",37 days
727,ISOMEN,ISOMENDOKU,2,200,"September 25, 2021, 00:00","October 25, 2021, 23:59",30 days
349,Danamon Promosi test ,DWALLETEST ,0,1,"March 1, 2018, 00:00","March 1, 2018, 23:59",0 days
594,CEBAN,CEBANMOVIE02,22,250,"February 25, 2020, 00:00","March 10, 2020, 23:59",14 days
840,BAROKAH RAMADAN,RAMADANAIRASIAFOOD,0,300,"March 22, 2023, 00:00","April 30, 2023, 23:59",39 days
56,test XL 2,WIDI25,0,5,"March 14, 2016, 00:00","March 15, 2016, 23:59",1 days
158,EZY TOP UP 04,EZYTOPUP600,2,100,"October 17, 2016, 00:00","November 17, 2016, 23:59",31 days
543,DREAM,DREAMKLOOK100,9,150,"September 23, 2019, 00:00","October 23, 2019, 23:59",30 days
105,SUKA EZYTRAVEL 2,SUKAEZY2,20,20,"June 10, 2016, 00:00","June 30, 2016, 23:59",20 days
246,Bonus Retail,BONUSRETAIL,862,"1,500","August 15, 2017, 00:00","September 4, 2017, 23:59",20 days
216,Lazada Pulsa150K,LZDPULSA150,3,250,"June 21, 2017, 00:00","September 30, 2017, 23:59",101 days
596,PAKE DOKU DI LAWSON,DOKULAWSON20,8,350,"March 16, 2020, 00:00","April 30, 2020, 23:59",45 days
603,HAPPYDIRUMAH,HappyPulsa,279,"1,000","March 27, 2020, 00:00","April 20, 2020, 23:59",24 days
627,CEBAN APRIL,CEBANMUSIC04,9,500,"April 25, 2020, 00:00","May 10, 2020, 23:59",15 days
299,Jakcloth Minimal,JAKCLOTHMINIMAL,0,100,"December 6, 2017, 00:00","December 31, 2017, 23:59",25 days
393,test unipin,testuni,5,100,"May 2, 2018, 00:00","May 5, 2018, 23:59",3 days
399,DIORAMA MOX,MOXDIORAMA,0,500,"May 7, 2018, 00:00","June 19, 2018, 23:59",43 days
500,Thank DOKU Its Friday ,TDIFDATA,0,500,"May 10, 2019, 00:00","May 12, 2019, 23:59",2 days
759,CEBANFEBUARY,LIHAINYACEBAN,0,"1,500","January 25, 2022, 00:00","February 10, 2022, 23:59",16 days
236,Indosat 150K,ISATPULSA150,11,100,"August 10, 2017, 00:00","September 30, 2017, 23:59",51 days
412,PULSA CEBAN JULY,PULSACEBAN7,247,500,"July 25, 2018, 00:00","August 10, 2018, 23:59",16 days
772,CEBAN,CEBANYAAPRIL22,"1,465","1,500","March 25, 2022, 00:00","April 10, 2022, 23:59",16 days
442,OBAT GANTENG DISKON SABLENG ,TABLETGANTENG,0,500,"October 1, 2018, 00:00","October 31, 2018, 23:59",30 days
250,Bonus Transportation,BONUSTRANSPORT,23,"1,000","August 15, 2017, 00:00","September 30, 2017, 23:59",46 days
300,Jakcloth Damn I Love Indonesia,JAKCLOTHDILI,0,100,"December 6, 2017, 00:00","December 31, 2017, 23:59",25 days
23,PROMOCODE2,PROMOCODE2,1,2,"January 5, 2016, 00:00","January 5, 2016, 23:59",0 days
766,CEBAN,MARETCEBANGAMES03,145,500,"February 25, 2022, 00:00","March 10, 2022, 23:59",13 days
328,DOKU Bikin Baper Eiffel I'm in Love,DOKUBIKINBAPER,7,100,"February 5, 2018, 00:00","February 28, 2018, 23:59",23 days
169,TESTXL10,TESTXL10,0,1,"November 3, 2016, 00:00","November 4, 2016, 23:59",1 days
534,NOBARDOKU,NOBARENGDOKU,18,250,"August 5, 2019, 00:00","August 15, 2019, 23:59",10 days
171,Test AXIS 2,TAXIS2,0,1,"November 3, 2016, 00:00","November 4, 2016, 23:59",1 days
254,BONUS 1DEKA Entertainment,1DEKAENTERTAIN,0,750,"September 25, 2017, 00:00","November 30, 2017, 23:59",66 days
447,CEBAN OKTOBER ,CEBANMOVIE10,1,200,"October 25, 2018, 00:00","November 10, 2018, 23:59",16 days
756,LORDOKU,ANAKBARU,20,500,"December 27, 2021, 00:00","January 10, 2022, 23:59",14 days
337,Lazada Shopping Seru,SHOPPINGSERU,0,"1,000","February 1, 2018, 00:00","March 31, 2018, 23:59",58 days
385,CEBAN GENFLIX ,GENFLIXCEBAN ,0,100,"April 30, 2018, 00:00","May 10, 2018, 23:59",10 days
938,CEBAN,CEBANCODASEP09,"1,489","1,500","September 25, 2024, 00:00","October 10, 2024, 23:59",15 days
430,OBAT GANTENG DISKON SABLENG ,JAMUGANTENGLAGI,"1,198","2,000","September 12, 2018, 00:00","October 31, 2018, 23:59",49 days
429,DOKU HEMAT BANGET ,DOKUHEMAT10AJA,8,400,"September 1, 2018, 00:00","December 31, 2018, 23:59",121 days
708,CEBANJULI,PULSABULANJULI,18,750,"July 25, 2021, 00:00","August 10, 2021, 23:59",16 days
709,CEBAN,TAGIHANBULANJULI,745,750,"July 25, 2021, 00:00","August 10, 2021, 23:59",16 days
783,APEX,APEXDOKUNIPIN,111,500,"June 14, 2022, 00:00","June 19, 2022, 23:59",5 days
453,CEBAN NOVEMBER ,PULSACEBAN11,298,500,"November 25, 2018, 00:00","December 10, 2018, 23:59",15 days
851,CEBAN,CEBANTAGIHANJUNI66,"1,473","1,500","May 25, 2023, 00:00","June 10, 2023, 23:59",16 days
571,DOKUJALANJALAN,DOKUKLOOK,5,500,"January 1, 2020, 00:00","January 31, 2020, 23:59",30 days
861,TDIF,TDIFUNIPIN23,48,500,"August 11, 2023, 00:00","August 20, 2023, 23:59",9 days
200,GENIT Promo Transport,GENITTRAVEL,21,250,"May 1, 2017, 00:00","July 16, 2017, 23:59",76 days
723,CEBAN,CEBANTAGIHAN99,747,750,"September 25, 2021, 00:00","October 10, 2021, 23:59",15 days
475,DOKU CEBAN ,CEBANTAGIHAN2,265,500,"February 25, 2019, 00:00","March 10, 2019, 23:59",13 days
15,voucheer,voucheer,1,2,"December 30, 2015, 00:00","December 30, 2015, 23:59",0 days
486,Thank DOKU its Friday,TDIFASMARA,0,50,"April 19, 2019, 00:00","April 21, 2019, 23:59",2 days
524,NOBARENGDOKU,DOKUARMYBASEINA,22,500,"July 3, 2019, 00:00","July 5, 2019, 23:59",2 days
752,LORDOKU,UNIPINLORDOKU1,0,500,"December 27, 2021, 00:00","January 10, 2022, 23:59",14 days
806,CEBAN,MABARENGOC,750,750,"September 26, 2022, 00:00","October 10, 2022, 23:59",14 days
101,SUKA EZY EXTEND,SUKAEZY1,77,77,"June 6, 2016, 00:00","June 30, 2016, 23:59",24 days
895,JEMPOLAN,DOKUJEMPOLANAA,0,250,"December 20, 2023, 00:00","January 31, 2024, 23:59",42 days
214,Lazada Pulsa 50K,LZDPULSA50,250,250,"June 21, 2017, 00:00","September 30, 2017, 23:59",101 days
321,Harbolnas DOKU 100,DOKUbolnas100,33,500,"December 12, 2017, 00:00","December 31, 2017, 23:59",19 days
102,PROMO CODA,DOKUCODA,3,500,"June 9, 2016, 00:00","August 31, 2016, 23:59",83 days
544,DREAM,DREAMKLOOK200,35,150,"September 23, 2019, 00:00","October 23, 2019, 23:59",30 days
640,CEBAN ,CEBANPULSA07,214,500,"May 25, 2020, 00:00","June 10, 2020, 23:59",16 days
